用語,科目,出題回数（11回中）,解説
土砂災害警戒情報,専門知識,2,土砂災害警戒情報は、大雨警報発表中に土砂災害の危険度がさらに高まった場合、都道府県と気象台が共同で発表する。市町村の避難判断を支援する。
壁雲,専門知識,2,壁雲は、強い積乱雲の雨のない上昇流域で雲底が局地的に低下した雲である。回転する壁雲は竜巻発生の手掛かりとなる。
外向き長波放射量,専門知識,2,外向き長波放射量は、大気上端から宇宙へ放出される長波放射量で、OLRと略す。熱帯では値が小さいほど雲頂の高い活発な対流を示すことが多い。
大気境界層,専門知識,2,大気境界層は、地表面の摩擦や加熱・冷却の影響を直接受ける大気下層である。日中と夜間で厚さや成層が大きく変化する。
寒冷低気圧,専門知識,2,寒冷低気圧は、対流圏中・上層に寒気を伴う低気圧で、寒冷渦とも呼ばれる。上空寒気により大気が不安定となりやすい。
層雲,専門知識,2,層雲は、低い高度に一様な層状で広がる雲である。地面に接すると霧となり、弱い霧雨を伴うことがある。
平年値,専門知識,2,平年値は、気温や降水量などについて連続する30年間の観測値を平均した値である。10年ごとに更新され、平年差や平年比の基準となる。
強風域,専門知識,2,強風域は、台風や低気圧の周辺で一定以上の強い風が吹いている、または予想される範囲である。暴風域とは風速基準が異なる。
捕捉率,専門知識,2,捕捉率は、実際に現象が発生した事例のうち、発生を予報できた割合である。見逃し率と補完的な関係にある。
数値予報プロダクト,専門知識,2,数値予報プロダクトは、数値予報モデルの計算結果を利用者向けに提供する資料である。格子点値は格子付近を代表する値であり、実地形との差にも注意する。
断熱膨張,専門知識,2,断熱膨張は、外部との熱交換なしに気体が膨張する変化である。上昇する空気塊は気圧低下に伴って膨張し、気温が下がる。
日本海寒帯気団収束帯,専門知識,2,日本海寒帯気団収束帯は、冬の日本海で寒気流が収束して形成される帯状の雲域である。JPCZとも呼ばれ、日本海側へ局地的な大雪をもたらす。
日本版改良藤田スケール,専門知識,2,日本版改良藤田スケールは、竜巻などの被害状況から風速を推定する日本向けの尺度である。JEF0からJEF5までの6階級で表す。
日照時間平年比,専門知識,2,日照時間平年比は、実際の日照時間を平年の日照時間で割り、百分率で表した値である。地域の多照・寡照を比較する。
早期注意情報,専門知識,2,早期注意情報は、警報級の現象が数日先までに発生する可能性を示す情報である。可能性を段階で示し、週間天気予報などと併用する。
暖かい雨,専門知識,2,暖かい雨は、氷相を経ずに雲粒の衝突・併合で雨滴が成長する降水過程である。主に0℃以上の雲、特に海洋性の雲で働きやすい。
気圧傾度力,専門知識,2,気圧傾度力は、気圧差によって高圧側から低圧側へ働く力である。等圧線の間隔が狭いほど一般に大きい。
波浪,専門知識,2,波浪は、海面に生じる波の総称で、主に風によって発生・発達する。高波による災害のおそれがあると波浪警報などが発表される。
洪水注意報,専門知識,2,洪水注意報は、大雨や融雪などにより河川の増水や氾濫のおそれがある場合に発表される。洪水警報より低い段階の防災情報である。
海陸風,専門知識,2,海陸風は、陸と海の加熱・冷却速度の差によって生じる局地循環である。日中は海風、夜間は陸風が卓越する。
温度傾度,専門知識,2,温度傾度は、距離に対する温度の変化率である。水平温度傾度は温度風や前線帯の強さ、傾圧性を表す。
湧昇,専門知識,2,湧昇は、海洋の深い層の水が表層へ上がる現象である。台風の強風や風応力によって起こると、冷水が表面へ上がり海面水温を下げる。
潜熱,専門知識,2,潜熱は、相変化の際に温度変化を伴わず出入りする熱である。水蒸気の凝結では放出され、蒸発では吸収される。
特別警報,専門知識,2,特別警報は、重大な災害の危険が著しく高まっている場合に発表される。警報との基準や通知義務の違いが問われる。
発散,専門知識,2,発散は、水平風によって空気が周囲へ広がる状態である。上層発散は下層からの空気流入と上昇流を支え、地上低気圧の発達に関係する。
発雷数,専門知識,2,発雷数は、一定期間・領域で観測された雷の発生数である。発雷確率予測の検証では、実況側の発生判定に用いる。
相対湿度,専門知識,2,相対湿度は、実際の水蒸気圧を同じ温度の飽和水蒸気圧で割った割合である。水蒸気量が同じでも気温が変われば値は変化する。
相当温位,専門知識,2,相当温位は、空気塊中の水蒸気をすべて凝結させた後、乾燥断熱的に1000hPaへ移したときの温度である。暖湿気の指標として用いられる。
真夏日,専門知識,2,真夏日は、日最高気温が30°C以上の日である。確率予報や予報検証の題材にも用いられる。
移流霧,専門知識,2,移流霧は、暖湿な空気が冷たい地表面や海面上へ移流して冷却されることで生じる霧である。ある程度の風がある場合に形成されやすい。
積雪深計,専門知識,2,積雪深計は、地面から雪面までの鉛直距離である積雪の深さを測る測器である。超音波式やレーザー式などがある。
等高度線,専門知識,2,等高度線は、等圧面上でジオポテンシャル高度が等しい地点を結んだ線である。その間隔や曲率から上空の気圧傾度や流れを読む。
解析積雪深,専門知識,2,解析積雪深は、積雪計の観測と数値予報などを組み合わせて面的な積雪深を解析した情報である。観測点のない場所も含む分布を示す。
記録的短時間大雨情報,専門知識,2,記録的短時間大雨情報は、数年に一度程度しか発生しないような短時間の大雨を観測・解析した場合に発表される。警戒すべき地域を具体的に示す。
進路予報,専門知識,2,進路予報は、台風中心の将来位置とその不確実性を示す予報である。予報円は台風の大きさではなく中心位置の確率範囲を表す。
長波放射,専門知識,2,長波放射は、主に地表面や大気が放出する赤外域の放射である。水蒸気や二酸化炭素などに吸収・再放射される。
防災気象情報,専門知識,2,防災気象情報は、気象災害の防止・軽減のために気象庁などが発表する情報の総称である。警報・注意報、危険度分布、各種情報を状況に応じて組み合わせる。
降水確率,専門知識,2,降水確率は、予報区内の一定期間に1mm以上の降水がある確率である。降水量の多さや降る時間の長さを表すものではない。
降水量ガイダンス,専門知識,2,降水量ガイダンスは、数値予報の説明変数から地点や領域の降水量を統計的に予測する資料である。モデルの系統誤差や格子表現を補正する。
降水量平年比,専門知識,2,降水量平年比は、実際の降水量を平年の降水量で割り、百分率で表した値である。100%より大きければ平年より多い。
集中豪雨,専門知識,2,集中豪雨は、限られた地域に短時間で大量の雨が降る現象である。組織化した積乱雲が同じ地域へ繰り返しかかると発生しやすい。
雷ナウキャスト,専門知識,2,雷ナウキャストは、雷の活動度と短時間先の可能性を格子ごとに示す情報である。雷監視システム、レーダー、数値予報などを利用する。
雷監視システム,専門知識,2,雷監視システムは、落雷などが放射する電磁波を複数地点で受信し、雷の位置や時刻を標定する観測システムである。雷ナウキャストの実況解析に用いられる。
霜,専門知識,2,霜は、地面や物体表面の温度が下がり、空気中の水蒸気が昇華して氷の結晶となったものである。地中の水分が凍って押し上げる霜柱とは異なる。
高潮警報,専門知識,2,高潮警報は、台風や低気圧による異常な潮位上昇で重大な災害のおそれがある場合に発表される。予想潮位と警報基準を比較して判断する。
高解像度降水ナウキャスト,専門知識,2,高解像度降水ナウキャストは、レーダーなどの実況から短時間先の降水を細かな格子で予測する情報である。急発達・急衰弱する雨雲の予測には限界がある。
2週間気温予報,専門知識,1,2週間気温予報は、2週間先までの気温の見通しを日別または期間別に示す予報である。週間天気予報より先の気温傾向を確率的に示す。
あられ,専門知識,1,あられは、雪結晶や氷晶が過冷却雲粒を付着させて成長した白色不透明な氷粒である。積乱雲など対流の強い雲から降ることが多い。
もや,専門知識,1,もやは、微小な水滴や湿った微粒子により水平視程が1km以上10km未満となる現象である。水平視程1km未満の霧と区別する。
やませ,専門知識,1,やませは、主に梅雨期から夏に東北地方の太平洋側へ吹く冷たく湿った東寄りの風である。低温や日照不足をもたらし、農作物へ影響することがある。
ろうと雲,専門知識,1,ろうと雲は、積乱雲底から漏斗状に垂れ下がる雲で、強い回転を伴う。地面に達して強い風を生じている場合は竜巻と判定される。
アウターバンド,専門知識,1,アウターバンドは、台風中心から離れた外側に形成される帯状の降雨域である。台風本体から離れた地域にも強雨をもたらすことがある。
インドモンスーン,専門知識,1,インドモンスーンは、インド周辺で季節により風向と降水が大きく変わるモンスーン循環である。夏季には海洋から暖湿気が流入して雨季をもたらす。
ウィンドシアー,専門知識,1,ウィンドシアーは、風向または風速が空間的に急変することである。積乱雲の組織化、航空機の運航、乱気流などに関係する。
エンゼルエコー,専門知識,1,エンゼルエコーは、晴天時に昆虫や鳥、大気の屈折率変動などから生じる非降水エコーである。降水粒子がなくても観測される。
エーロゾル,専門知識,1,エーロゾルは、大気中に浮遊する固体または液体の微粒子である。雲凝結核や氷晶核となるほか、放射の散乱・吸収にも関与する。
オゾン,専門知識,1,オゾンは主に成層圏で紫外線を吸収し、大気を加熱する。生成域と濃度の極大域は一致せず、輸送の影響も受ける。
キキクル,専門知識,1,キキクルは、土砂災害、浸水害、洪水害の危険度分布を地図上に色分けして示す情報である。災害種別ごとに使用する指数が異なる。
グランドクラッタ,専門知識,1,グランドクラッタは、地面や建物、山など固定物から生じるレーダーエコーである。降水エコーとの識別や除去が必要となる。
コントロールラン,専門知識,1,コントロールランは、アンサンブル予報で基準となる条件を用いた予測である。摂動を加えたメンバーとの比較に使われる。
シークラッタ,専門知識,1,シークラッタは、海面からの反射によって生じるレーダーエコーである。強風時の波立った海面などで現れやすい。
スペクトル法,専門知識,1,スペクトル法は、大気場をさまざまな波長の基底関数の重ね合わせで表現する計算方法である。全球モデルの水平離散化に用いられる。
スーパーセル,専門知識,1,スーパーセルは、長時間持続する回転性上昇流をもつ組織化された積乱雲である。大きなひょう、竜巻、激しい突風を伴うことがある。
ドップラーライダー,専門知識,1,ドップラーライダーは、レーザー光のドップラー偏移を利用して風を観測する装置である。エーロゾルなどからの散乱を利用し、降水がない場合にも観測できる。
ドップラー効果,専門知識,1,ドップラー効果は、波源と観測者の相対運動により観測周波数が変化する現象である。気象レーダーやウィンドプロファイラで対象の動径速度を求める。
ドライスロット,専門知識,1,ドライスロットは、発達する温帯低気圧へ中・上層の乾燥空気が入り込む領域である。水蒸気画像では暗域として明瞭に現れる。
ハドレー循環,専門知識,1,ハドレー循環は、熱帯の上昇、亜熱帯の下降、下層の貿易風からなる南北循環である。熱や角運動量の輸送に重要である。
バイアススコア,専門知識,1,バイアススコアは、現象ありと予報した回数を実際の発生回数で割った指標である。1より大きいと予報過多、1より小さいと予報過少を示す。
バックウォーター現象,専門知識,1,バックウォーター現象は、本川の水位上昇などによって支川の水が流れにくくなり、上流側の水位が上がる現象である。合流点付近の洪水危険度を高める。
プラネタリー波,専門知識,1,プラネタリー波は、地球規模の非常に長い波長をもつ大気の波動である。対流圏から成層圏へ伝播し、成層圏突然昇温にも関与する。
マイクロ波,専門知識,1,マイクロ波は、電波のうち波長が比較的短い領域である。気象レーダーや衛星の観測に利用される。
マルチセル,専門知識,1,マルチセルは、発達段階の異なる複数の対流セルから構成される積乱雲群である。新しいセルが次々に形成されることで活動が持続する。
モデル地形,専門知識,1,モデル地形は、数値予報モデルの格子に合わせて平滑化された地形である。実地形との差は地上気温、風、降水などの予測誤差要因となる。
モンスーン,専門知識,1,モンスーンは、季節によって広域の卓越風向が大きく変化する大気循環である。アジア域では降水と対流活動へ大きな影響を与える。
レーダー反射強度,専門知識,1,レーダー反射強度は、降水粒子などから戻る電波の強さを表す観測量である。粒子の大きさ、数、相によって変化する。
一般風,専門知識,1,一般風は、局地的な地形や熱的循環より広い場を代表する風である。海陸風や山谷風を考えるとき、その背景風として扱う。
乱層雲,専門知識,1,乱層雲は、広い範囲に連続的な雨や雪をもたらす厚い層状雲である。温暖前線や低気圧に伴う広域降水で見られる。
乾球温度,専門知識,1,乾球温度は、通常の温度計で測る空気の温度である。乾湿計では湿球温度との差から湿度を求める。
予想降水量,専門知識,1,予想降水量は、予報期間内に見込まれる降水量である。降水確率とは異なり、雨や雪がどれほどの量になるかを示す。
二乗平均平方根誤差,専門知識,1,二乗平均平方根誤差は、誤差を二乗して平均し平方根を取った指標で、RMSEとも表す。値が小さいほど予報値と実況値のずれが小さい。
亜熱帯高気圧,専門知識,1,亜熱帯高気圧は、亜熱帯域に形成される大規模な高気圧帯である。ハドレー循環の下降流域と関係する。
低気圧性循環,専門知識,1,低気圧性循環は、北半球では反時計回り、南半球では時計回りの循環である。低気圧やトラフに伴う風の回転を表す。
低温注意報,専門知識,1,低温注意報は、低温により農作物などに著しい被害が生じるおそれがある場合に発表される。発表基準は地域と季節で異なる。
偽エコー,専門知識,1,偽エコーは、実際の降水とは対応しないレーダーエコーである。地物、生物、異常伝搬、多重散乱などが原因となる。
全層なだれ,専門知識,1,全層なだれは、積雪層全体が地面との境界から滑り落ちるなだれである。融雪期や地面付近へ融雪水が入る時期に起こりやすい。
全雲量,専門知識,1,全雲量は、全天を雲が覆う割合を表す量である。雲形ごとの雲量ではなく、見かけ上の空全体の被覆率を観測する。
凍雨,専門知識,1,凍雨は、透明または半透明の氷の粒が降る現象である。過冷却雨滴が地物に付着して凍る着氷性の雨とは異なる。
前線帯,専門知識,1,前線帯は、水平温度傾度が大きく、性質の異なる気塊が接する帯状領域である。上空のジェット気流や温帯低気圧の発達と関係する。
動径速度,専門知識,1,動径速度は、レーダーから見た接近・遠ざかり方向の速度成分である。単一レーダーでは風の全ベクトルではなく、この成分を観測する。
北極振動,専門知識,1,北極振動は、北極域と中緯度の海面気圧が逆位相で変動する大気循環の変動である。正負の位相により中緯度への寒気流出の起こりやすさが変わる。
地ふぶき,専門知識,1,地ふぶきは、地面の雪が風で吹き上げられる現象である。降雪を伴わなくても発生する。
地形性巻雲,専門知識,1,地形性巻雲は、山岳の風下側で気流が波動を起こして形成される上層雲である。強風軸にほぼ平行な雲列として衛星画像に現れることがある。
塩害,専門知識,1,塩害は、海塩粒子や海水飛沫が植物、電線、設備などへ付着して生じる被害である。台風の強風で内陸へ運ばれ、降雨が少ないと洗い流されにくい。
境界条件,専門知識,1,境界条件は、数値予報の計算領域の端や地表面で与える物理量の条件である。領域モデルでは側面境界に全球モデルなどの予測値を用いる。
夏日,専門知識,1,夏日は、日最高気温が25°C以上の日である。真夏日、猛暑日とは基準温度が異なる。
多重散乱,専門知識,1,多重散乱は、電波が複数の物体で繰り返し散乱・反射される現象である。大型風車などの周辺で偽エコーを生じることがある。
大気の状態方程式,専門知識,1,大気の状態方程式は、気圧、密度、温度を結ぶ関係である。湿潤空気では仮温度を用いると乾燥空気と同じ形で扱える。
大気の窓,専門知識,1,大気の窓は、大気による長波放射の吸収が比較的弱い波長帯である。地表面からの放射が宇宙へ直接出やすく、赤外画像の観測にも使われる。
大気境界層過程,専門知識,1,大気境界層過程は、地表面付近の乱流混合や熱・水蒸気・運動量の交換を扱う物理過程である。数値予報ではパラメタリゼーションで表現する。
大気海洋結合モデル,専門知識,1,大気海洋結合モデルは、大気と海洋を相互作用させながら計算する数値モデルである。エルニーニョ予測や季節予報に利用される。
大雨特別警報,専門知識,1,大雨特別警報は、台風や集中豪雨により数十年に一度の大雨が予想され、重大な災害のおそれが著しく大きい場合に発表される。発表後は最大級の警戒が必要である。
大雪特別警報,専門知識,1,大雪特別警報は、数十年に一度の降雪量となる大雪が予想され、重大な災害のおそれが著しく大きい場合に発表される。通常の大雪警報より危険度が高い。
天文潮位,専門知識,1,天文潮位は、月や太陽の引力など天体運動から予測される潮位である。実際の潮位との差である潮位偏差を、高潮の評価に用いる。
季節予報,専門知識,1,季節予報は、1か月や3か月などの平均的な天候を平年との比較や確率で示す予報である。大気海洋結合モデルとアンサンブル予報が利用される。
寒候年,専門知識,1,寒候年は、降雪や積雪の統計で用いる前年8月から当年7月までの1年間である。暦年をまたぐ雪の季節を一続きとして扱う。
寒帯前線,専門知識,1,寒帯前線は、中緯度で寒帯気団と暖かい気団の境界に形成される大規模な前線帯である。寒帯前線ジェットや温帯低気圧と関係する。
対流不安定,専門知識,1,対流不安定は、層全体を持ち上げたとき下層ほど相当温位が高いため不安定化する状態である。下層の暖湿気と上層の乾燥空気の組み合わせで起こりやすい。
対流混合層,専門知識,1,対流混合層は、日射で加熱された地表面からの対流によってよく混合された層である。日中に発達し、温位や風が鉛直にほぼ一様となる。
層厚,専門知識,1,層厚は、二つの等圧面間の高度差である。層内の平均仮温度が高いほど層厚は大きくなる。
巻層雲,専門知識,1,巻層雲は、薄いベール状に空を覆う上層雲で、主に氷晶からなる。太陽や月の周囲に暈を生じることがある。
平均誤差,専門知識,1,平均誤差は、予報値から実況値を引いた誤差の平均で、MEとも表す。正負から予報の系統的な偏りを判断できる。
平均降水量ガイダンス,専門知識,1,平均降水量ガイダンスは、対象領域の平均的な降水量を統計的に予測するガイダンスである。カルマンフィルタを用いる場合、観測に応じて係数が逐次更新される。
府県予報区,専門知識,1,府県予報区は、天気予報や警報・注意報を発表する基本的な区域である。通常は都府県単位だが、北海道や一部の島しょでは区分が異なる。
強度予報,専門知識,1,強度予報は、台風の将来の中心気圧や最大風速などを予報するものである。進路予報とは示す内容が異なる。
推計気象分布,専門知識,1,推計気象分布は、観測や衛星などの資料から天気、気温、日照時間の面的分布を推定した情報である。観測所のない場所も含む格子形式で示される。
放射霧,専門知識,1,放射霧は、晴れて風の弱い夜間に地表面が放射冷却し、接地気層が冷却されて生じる霧である。内陸の低地などで発生しやすい。
断熱圧縮,専門知識,1,断熱圧縮は、外部との熱交換なしに気体が圧縮される変化である。下降する空気塊は気圧上昇に伴って圧縮され、気温が上がる。
日最低気温,専門知識,1,日最低気温は、1日の気温の最低値である。冬日は日最低気温、真冬日は日最高気温を基準に判定する。
早期天候情報,専門知識,1,早期天候情報は、かなり高い・低い気温や多雪となる可能性が高まったとき、早い段階で注意を呼びかける情報である。一定期間の平均気温や降雪量の確率予測に基づく。
昇華,専門知識,1,昇華は、固体と気体の間で液体を経ずに起こる相変化である。氷晶の成長では水蒸気が氷面へ直接付着する。
暴風域,専門知識,1,暴風域は、台風または発達する低気圧の周辺で平均風速25m/s以上の風が吹いている、または吹く可能性のある範囲である。強風域と基準が異なる。
暴風警戒域,専門知識,1,暴風警戒域は、台風の予報時間内に暴風域へ入るおそれのある範囲である。予報円と暴風域を基に示される。
最多雲量,専門知識,1,最多雲量は、観測した雲層のうち最も多い雲量を表す。全雲量と同じとは限らず、雲形別の観測で区別する。
最大瞬間風速,専門知識,1,最大瞬間風速は、瞬間風速の最大値である。10分間平均の最大風速とは平均時間が異なり、突風の強さを表しやすい。
有効位置エネルギー,専門知識,1,有効位置エネルギーは、大気の水平温度差に蓄えられ、運動エネルギーへ変換可能な位置エネルギーである。温帯低気圧の発達では減少しながら運動エネルギーへ変換される。
格子点法,専門知識,1,格子点法は、計算領域を格子に分け、各格子点の物理量を用いて方程式を離散化する方法である。数値予報モデルの水平計算手法の一つである。
極渦,専門知識,1,極渦は、冬半球の極域上空に形成される大規模な低気圧性循環である。成層圏突然昇温では変形、分裂、弱化することがある。
気圧計,専門知識,1,気圧計は、大気の圧力を測定する測器である。観測値は海面更正などの処理を経て天気図に利用される。
気象庁風力階級,専門知識,1,気象庁風力階級は、風速に応じて風力を段階で表す区分である。観測された風速と階級の対応を区別する。
気象観測,専門知識,1,気象観測は、自然科学的方法によって大気の諸現象を観察・測定することである。一定の観測には届出や技術上の基準が適用される。
水平収束,専門知識,1,水平収束は、水平方向の風によって空気が一つの領域へ集まることをいう。下層の水平収束は上昇流や雲・降水の形成に結び付きやすい。
水蒸気輸送,専門知識,1,水蒸気輸送は、風によって水蒸気が運ばれることをいう。下層の強い暖湿気流による輸送と収束は大雨の重要な条件となる。
流線関数,専門知識,1,流線関数は、非発散に近い水平風場を表すための量で、等値線に沿って風が流れる。上層の高気圧性・低気圧性循環の解析に用いる。
海霧,専門知識,1,海霧は、海上で発生する霧の総称である。暖湿気が冷たい海面上へ流入して冷却される移流霧が代表的である。
海風,専門知識,1,海風は、日中に比較的冷たい海上から暖められた陸上へ吹く風である。先端の海風前線では収束や対流が強まることがある。
混合比,専門知識,1,混合比は、乾燥空気の質量に対する水蒸気の質量の比である。凝結や蒸発がなければ空気塊の移動でほぼ保存される。
渦度,専門知識,1,渦度は、流体の局所的な回転の強さを表す量である。天気図では低気圧性・高気圧性の回転や上昇流との関係を考える。
湿度計,専門知識,1,湿度計は、相対湿度など空気の湿り具合を測定する測器である。電気式湿度計や乾湿計など方式ごとの特性がある。
湿球温度,専門知識,1,湿球温度は、湿球からの蒸発による冷却を反映した温度である。通常は気温以下、露点温度以上となり、飽和時には三者が一致する。
滑昇霧,専門知識,1,滑昇霧は、湿った空気が斜面に沿って上昇し、断熱冷却されて生じる霧である。風上側の山地で発生しやすい。
熱中症警戒アラート,専門知識,1,熱中症警戒アラートは、熱中症の危険性が極めて高くなると予測された場合に発表される情報である。暑さ指数を基準に用いる。
熱的低気圧,専門知識,1,熱的低気圧は、地表面付近の強い加熱によって空気密度が小さくなり形成される浅い低気圧である。夏季の内陸や大陸上に現れやすい。
発生確度1,専門知識,1,発生確度1は、竜巻発生確度ナウキャストで激しい突風の可能性を示す段階の一つである。発生確度2より可能性は低いが、周囲の空の変化に注意する。
発生確度2,専門知識,1,発生確度2は、竜巻発生確度ナウキャストで激しい突風の可能性が高い領域を示す段階である。的中率は低くても捕捉率を重視した情報である。
発達する熱帯低気圧に関する情報,専門知識,1,発達する熱帯低気圧に関する情報は、熱帯低気圧が24時間以内に台風となり日本へ影響するおそれがある場合などに発表される。台風になる前から進路や警戒事項を伝える。
眼の壁,専門知識,1,眼の壁は、台風の眼を囲む発達した積乱雲の環である。台風内で特に強い上昇流、降水、風を伴う。
着雪害,専門知識,1,着雪害は、湿った雪が電線、樹木、鉄道設備などへ付着して生じる被害である。気温が0°C付近で風を伴う降雪時に起こりやすい。
確率予報,専門知識,1,確率予報は、現象が発生する可能性を確率で示す予報である。適中・外れだけでなく、信頼度や分離度などを検証する。
空気塊,専門知識,1,空気塊は、周囲との混合を無視して一まとまりとして扱う仮想的な空気である。上昇・下降時の断熱変化や安定度の判定に用いる。
竜巻注意情報,専門知識,1,竜巻注意情報は、竜巻などの激しい突風が発生しやすい気象状況になったときに発表される情報である。竜巻発生確度ナウキャストと併せて行動判断に用いる。
竜巻発生確度ナウキャスト,専門知識,1,竜巻発生確度ナウキャストは、竜巻など激しい突風の発生可能性を短時間先まで示す情報である。格子ごとに発生確度を表す。
等相当温位線,専門知識,1,等相当温位線は、相当温位が等しい地点を結んだ線である。暖湿気の分布や前線帯、対流不安定な領域の把握に使う。
線状降水帯,専門知識,1,線状降水帯は、発達した積乱雲が列をなし、ほぼ同じ場所を通過・停滞して大雨をもたらす雨域である。長時間続く集中豪雨の原因となる。
落下速度,専門知識,1,落下速度は、雲粒や降水粒子が空気中を落下する速さである。粒子の大きさ、形、密度と空気抵抗によって決まる。
融解,専門知識,1,融解は、氷や雪が液体の水へ変化する相変化である。周囲から融解熱を吸収するため、融解層では空気の冷却が起こる。
融雪注意報,専門知識,1,融雪注意報は、積雪の融解による土砂災害や浸水などのおそれがある場合に発表される。気温上昇や降雨による融雪の進行に注意する。
衝突・併合,専門知識,1,衝突・併合は、落下速度の異なる雲粒や雨滴が衝突して一つになる成長過程である。暖かい雨の主要な降水粒子成長機構である。
表層なだれ,専門知識,1,表層なだれは、古い積雪面の上に積もった新雪など上部の層だけが滑り落ちるなだれである。降雪直後や吹きだまりで起こりやすい。
解析予報サイクル,専門知識,1,解析予報サイクルは、解析と予測を繰り返し、予測を次の解析の第一推定値に使う仕組みである。観測の少ない領域へも情報を伝える。
谷風,専門知識,1,谷風は、日中に加熱された山腹に沿って谷から山側へ吹く局地風である。夜間には反対向きの山風となる。
超音波式積雪計,専門知識,1,超音波式積雪計は、地面または雪面までの超音波の往復時間から積雪深を測る測器である。無雪時の基準距離との差を積雪深とする。
転移層,専門知識,1,転移層は、性質の異なる二つの気塊の間で気温や湿度などが連続的に変化する層である。地表との交線として解析する前線とは位置を区別する。
送信波,専門知識,1,送信波は、レーダーから目標へ向けて送られる電波である。反射波との強度差や周波数差から降水や風の情報を得る。
通風乾湿計,専門知識,1,通風乾湿計は、乾球温度と湿球温度を強制通風下で測り、湿度を求める測器である。アスマン通風乾湿計が代表的である。
通風筒,専門知識,1,通風筒は、温度計や湿度計を日射や降水から保護し、外気を通風させる覆いである。測器を風通しのよい日陰に設置して気温・湿度を測る。
連続の式,専門知識,1,連続の式は、流体の質量保存を表す関係式である。水平収束と鉛直流、密度変化などの結び付きを示す。
過飽和度,専門知識,1,過飽和度は、実際の水蒸気圧が飽和水蒸気圧をどれだけ上回るかを表す量である。雲粒や氷晶の成長速度に影響する。
遠心力,専門知識,1,遠心力は、曲線運動を回転座標系で扱うとき外向きに現れる見かけの力である。傾度風平衡では気圧傾度力やコリオリ力との釣り合いに含まれる。
避難指示,専門知識,1,避難指示は、災害のおそれが高い場合に市町村長が必要な地域の居住者などへ避難を求める情報である。警報や危険度分布と発令主体を区別する。
閉塞前線,専門知識,1,閉塞前線は、寒冷前線が温暖前線に追いつき、地上の暖域が低気圧中心から切り離された前線である。温帯低気圧の成熟・衰弱過程で形成される。
降水エコー,専門知識,1,降水エコーは、雨滴や雪片などの降水粒子からの反射によって観測されるレーダーエコーである。強度や偏波情報から降水の分布と性質を推定する。
降水強度,専門知識,1,降水強度は、単位時間当たりの降水量で表す降水の強さである。レーダー反射や偏波情報から面的に推定される。
降雪短時間予報,専門知識,1,降雪短時間予報は、数時間先までの降雪量や積雪深の分布を予測する情報である。解析積雪深や数値予報などを利用する。
陸風,専門知識,1,陸風は、夜間に冷えた陸上から相対的に暖かい海上へ吹く風である。一般に海風より弱く、循環も浅い。
離散化,専門知識,1,離散化は、連続な方程式を格子点や波数ごとの有限な計算へ置き換えることをいう。格子点法やスペクトル法が代表的である。
雨雪判別,専門知識,1,雨雪判別は、観測された降水が雨か雪かなどの相を識別することである。二重偏波レーダーでは反射波の偏波特性を利用できる。
雲クラスター,専門知識,1,雲クラスターは、対流雲がまとまって形成する広い雲域である。熱帯や梅雨前線付近の活発な対流活動の把握に用いる。
雲渦,専門知識,1,雲渦は、衛星画像で雲が渦巻き状に組織化したパターンである。発達した温帯低気圧や寒冷低気圧の中心位置を判断する手掛かりとなる。
雲頂温度,専門知識,1,雲頂温度は、衛星の赤外観測から推定される雲頂の放射温度である。一般に低温ほど雲頂が高いが、地上気温や大気構造も考慮する。
電気式湿度計,専門知識,1,電気式湿度計は、湿度による感湿素子の電気抵抗や静電容量の変化を利用する測器である。通風乾湿計と測定原理が異なる。
露点温度,専門知識,1,露点温度は、水蒸気量を変えずに空気を冷却したとき飽和に達する温度である。気温との差が小さいほど飽和に近い。
露点計,専門知識,1,露点計は、鏡面などを冷却して結露が生じる温度から露点温度を測る測器である。湿度を直接的に求める方法の一つである。
静力学平衡,専門知識,1,静力学平衡は、鉛直気圧傾度力と重力が釣り合った状態である。大気の気圧と高度の関係を考える基礎となる。
静力学近似,専門知識,1,静力学近似は、鉛直方向の運動方程式を静力学平衡で置き換える近似である。水平規模の小さい強い対流では非静力学効果が重要となる。
非降水エコー,専門知識,1,非降水エコーは、降水以外の地物、海面、生物、異常伝搬などによって現れるレーダーエコーである。品質管理で降水エコーとの識別・除去を行う。
顕著な大雨に関する気象情報,専門知識,1,顕著な大雨に関する気象情報は、線状降水帯による非常に激しい雨が同じ場所で降り続いている状況などを知らせる情報である。大雨災害の危険度が急激に高まっていることを伝える。
風向風速計,専門知識,1,風向風速計は、風向と風速を測定する測器である。風車型ではプロペラと尾翼などを用いて両者を求める。
風車型風向風速計,専門知識,1,風車型風向風速計は、尾翼で風上へ向いたプロペラの回転から風速を、向きから風向を測る測器である。地上気象観測で広く使用される。
風速計,専門知識,1,風速計は、空気の流れの速さを測る測器である。風車型や超音波式などがあり、設置高度や周囲の障害物が観測値に影響する。
飽和水蒸気圧,専門知識,1,飽和水蒸気圧は、水蒸気と水または氷が平衡にあるときの水蒸気圧である。主に温度で決まり、温度が高いほど大きい。
高気圧性循環,専門知識,1,高気圧性循環は、北半球では時計回り、南半球では反時計回りの循環である。流線や高度偏差から大規模な循環場を読む際に用いる。
